date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:56	66113/66113	U-----	200	untouched ('')	image/png	etag:%2258582c30-10241%22	https://mop-shoot.tauri.hu/templates/wowhead/images/logo_new_big_valentine_bg.png	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/logo_new_big_valentine_bg.png	(from https://mop-shoot.tauri.hu/)
00:54:56	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:55%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_blue.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_blue.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:56	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:55%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_prismatic.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_prismatic.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:56	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:55%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_meta.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_meta.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:56	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:55%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_yellow.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_yellow.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:57	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:56%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_red.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_red.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:57	288617/288617	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2015%20Feb%202024%2023:54:56%20GMT	https://mop-shoot.tauri.hu/?battle-pets	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/index59ab.html	(from https://mop-shoot.tauri.hu/)
00:54:58	17142/17142	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2015%20Feb%202024%2023:54:56%20GMT	https://mop-shoot.tauri.hu/?pet-abilities	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/indexac0d.html	(from https://mop-shoot.tauri.hu/)
00:54:58	4694/4694	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2015%20Feb%202024%2023:54:57%20GMT	https://mop-shoot.tauri.hu/?maps	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/index7e94.html	(from https://mop-shoot.tauri.hu/)
00:54:58	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:57%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_blue.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_anim_blue.3c.delayed	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
